circuit_name,description
hsa04152_ULK1_backward,
hsa04068_FOXO6-FOXO1-FOXO3-FOXO4_backward,
hsa04068_PCK1-PCK2_backward,
hsa04068_G6PC1-G6PC2-G6PC3_backward,
hsa04068_CCNB3-CCNB1-CCNB2_backward,
hsa04068_CCND1-CCND2_backward,
hsa04068_CDKN2B_backward,
hsa04068_CDKN2D_backward,
hsa04068_CDKN1A_backward,
hsa04068_CDKN1B_backward,
hsa04068_RBL2_backward,
hsa04068_PLK4-PLK2-PLK3-PLK1_backward,
hsa04068_GADD45G-GADD45A-GADD45B_backward,
hsa04068_FASLG_backward,
hsa04068_BCL2L11_backward,
hsa04068_TNFSF10_backward,
hsa04068_BCL6_backward,
hsa04068_CAT_backward,
hsa04068_SOD2_backward,
hsa04068_GADD45G-GADD45A-GADD45B_backward,
hsa04068_ATM_backward,
hsa04068_BCL6_backward,
hsa04068_IL7R_backward,
hsa04068_KLF2_backward,
hsa04068_S1PR1-S1PR4_backward,
hsa04068_RAG1-RAG2_backward,
hsa04068_BNIP3_backward,
hsa04068_GABARAP-GABARAPL2-GABARAPL1_backward,
hsa04068_ATG12_backward,
hsa04068_SMAD3_backward,
hsa04068_FBXO32-FBXO25_backward,
hsa04068_CCNG2_backward,
hsa04068_DEPP1_backward,
hsa04350_TGFBR2-TGFBR1_backward,
hsa04350_HJV-NEO1_backward,
hsa04350_NCOR1-SKIL-HDAC1-HDAC2-SIN3A_backward,
hsa04350_SMAD4_backward,
hsa04350_SMAD4_backward,
hsa04350_ACVR2A-ACVR2B_backward,
hsa04350_PITX2_backward,
hsa04350_CDKN2B_backward,
hsa04350_ID1-ID2-ID3-ID4_backward,
hsa04350_ACVR2A-ACVR2B_backward,
hsa04350_RPS6KB1-RPS6KB2_backward,
hsa04350_ROCK1_backward,
hsa04350_SMAD4_backward,
hsa04350_SMAD4_backward,
hsa04350_AMHR2-BMPR2_backward,
hsa04350_HJV_backward,
hsa04350_BMPR2-ACVR2A_backward,
hsa04350_BMPR2-ACVR2A_backward,
hsa04350_SMAD1-SMAD5-SMAD9_backward,
hsa04350_HAMP_backward,
hsa04350_TFR2_backward,
hsa04350_TF_backward,
hsa04722_BAD_backward,
hsa04722_GSK3B_backward,
hsa04722_NFKB1-RELA_backward,
hsa04722_FASLG_backward,
hsa04722_SORT1_backward,
hsa04722_ATF4_backward,
hsa04722_MATK_backward,
hsa04722_RHOA_backward,
hsa04722_JUN_backward,
hsa04722_ABL1_backward,
hsa04722_ZNF274_backward,
hsa04722_MAGED1_backward,
hsa04722_PRDM4_backward,
hsa04722_RIPK2_backward,
hsa04722_IRAK3-IRAK1-IRAK2-IRAK4_backward,
hsa04722_TRAF6_backward,
hsa04722_YWHAE_backward,
hsa04722_BCL2_backward,
hsa04722_NFKB1-RELA_backward,
hsa04722_BAX_backward,
hsa05200_AR-AR_backward,
