CL_name	Type	Site	Histology	Vinblastine	Cisplatin	Cytarabine	Docetaxel___1007	Docetaxel___1819	Gefitinib	Vorinostat	Nilotinib	Olaparib	Axitinib	Afatinib	Palbociclib	5-Fluorouracil	Dasatinib	Paclitaxel	Crizotinib	Rapamycin	Sorafenib	Irinotecan	Oxaliplatin___1089	Oxaliplatin___1806	Erlotinib	Gemcitabine	Bortezomib	Tamoxifen	Fulvestrant___1200	Fulvestrant___1816	Trametinib	Dabrafenib	Temozolomide	Ruxolitinib	Epirubicin	Cyclophosphamide	Lapatinib	Ibrutinib	Zoledronate	Carmustine	Topotecan	Teniposide	Mitoxantrone	Dactinomycin___1811	Dactinomycin___1911	Nelarabine	Vincristine	Venetoclax	Osimertinib	Vinorelbine
749709	solid	breast	carcinoma	0.563644933644538	0.892904463032036	0.616832265150308	0.02336301360615	0.0126123352120984	0.968921889102129	0.896710650021817	0.926212723326287	0.809980965167443	0.981568409850921	0.879639561760279	0.990256940471482	0.726234305157494	0.909463028665358	0.0403152039987139	0.927934018243415	0.697703989799528	0.438971446164426	0.835939918141218	0.961229960682104	0.963567203923966	0.764853893334121	0.708695580756802	0.0523735923423518	0.984603336626907	0.989451307675949	0.997259763151784	0.963972789055523	0.97047879571682	0.94245891357313	0.966853601543196	0.288699320511983	0.640126525662305	0.580178768944788	0.904210386755456	0.943068332576125	0.891926328585943	0.856027793117449	0.0448180997484223	0.728834836308399	0.80290875452505	0.463750616268556	0.85933123608388	0.699594103236559	0.662075919731647	0.915725712143282	0.0783272003926945
749710	solid	breast	carcinoma	0.929698970113925	0.906992707339582	0.589240920743365	0.0650355092882021	0.248084223659143	0.904236618354567	0.641531461831352	0.952051126927088	0.862914776891585	0.944447723183132	0.907237115694918	0.984306213463474	0.671485532820345	0.778731221941744	0.135654007495711	0.823450816919877	0.776117780470531	0.770608678986979	0.864392247117562	0.933506057396504	0.926783385264742	0.673776729775194	0.389265270913955	0.215677289814752	0.959982263060614	0.97475876817117	0.990247580118688	0.846606004417513	0.92624611724504	0.929305726234024	0.96164240721646	0.421077465811794	0.691453354279861	0.588467280636069	0.937474968784016	0.933124701587983	0.922864315044663	0.93210595836056	0.544188607550867	0.593494946707191	0.858984083480675	0.5414213021049	0.910781003292397	0.977562905212777	0.838519658097845	0.852592085179538	0.46899887482228
749711	solid	breast	carcinoma	0.953076809362195	0.863405450246985	0.384572184016471	0.00742569626479739	0.00527716212356755	0.979118270152132	0.872868788199521	0.965887685673276	0.904515078652476	0.990129131661846	0.996322085458246	0.992281136909989	0.624363788391368	0.985535810561182	0.00550634984664511	0.941520176992174	0.925582375524705	0.366972323971371	0.878746525919931	0.708120368721128	0.845523679794551	0.764083786257612	0.826423995344487	0.0205466543853302	0.997857684426695	0.994762293424759	0.999187148517075	0.996069612920859	0.906233083537969	0.928459651131014	0.930493334535128	0.488948684666282	0.501092217735983	0.960305557964706	0.985174764933293	0.960990085749905	0.952265969610776	0.999069797774493	0.363319138571387	0.792084526382343	0.849597568976925	0.498843235862624	0.940507226212321	0.602269942928843	0.672844497161782	0.963700193175612	0.0115448381045669
749712	solid	breast	carcinoma	0.27769260777292	0.605285925389395	0.480567282926264	0.0328758778575371	NA	0.954245421305361	0.838555401225843	0.92621416197879	0.697889564804492	0.902749420383554	0.942378767460288	0.968693196151991	0.690759726397044	0.821182155250838	0.0831284511636036	0.814382546970351	0.774634408902998	0.457547659399762	0.643941218627594	0.882254960884127	NA	0.794529116820899	0.559101013582107	0.114560498336922	0.937801974866279	0.982122388004979	NA	0.95896045212834	0.937457001066557	0.923657917983318	NA	0.336387706966012	0.651647878117791	0.627945697319914	NA	NA	NA	NA	NA	NA	NA	0.482235407616133	NA	NA	0.72231908808722	0.950603962487039	0.148974816689333
749713	solid	breast	carcinoma	NA	0.429395744501121	NA	0.0323220228520444	NA	NA	0.439365754065119	0.914899950777209	0.791712328869259	0.973490085643363	0.972478285735501	0.990839941839068	0.36196383546136	NA	0.0449643869807297	0.802303032203458	NA	0.425942588606239	NA	NA	NA	NA	0.0052693407580825	0.0753020719784816	0.988268987342954	0.990471397604194	NA	0.992620721901886	0.970538949277905	0.916702229204985	NA	NA	NA	0.574660954878163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.737966787275693	NA	NA
749714	solid	breast	carcinoma	0.940474606655971	0.857607803257662	0.688474826842702	0.094654332352743	0.794637729067178	0.907239269078554	0.828126255273969	0.94181055378095	0.895415946629337	0.975612060769979	0.951888847221017	0.989570337297803	0.740586973189818	0.859176994180457	0.248794954549627	0.906525834058346	0.801419545825882	0.682158004512827	0.907894188196317	0.891334684110967	0.960702406562419	0.677244386496816	0.682197117112457	0.0783113297372787	0.977873617993386	0.986645468579713	0.994635458668404	0.951483077525146	0.952676966161338	0.949820042715093	0.967653134466319	0.296074274305671	0.723326121214734	0.672820539610436	0.948957733249285	0.916382159615683	0.910139239797903	0.980347745292958	0.575896145980176	0.960138076558927	0.874501773256519	0.604330094208912	0.926663325978673	0.996386281651557	0.71792596088977	0.88508728060505	0.377082553801123
749715	solid	breast	carcinoma	0.337533165310535	0.633794546617008	0.384662993345431	0.00124504085362875	0.00285330210423607	0.841886018439675	0.352727669728205	0.735623507897248	0.892631259839764	0.994538118103279	0.868030404054001	0.997297569356323	0.384667812318901	0.898418232348247	0.116960817583041	0.950633714738361	0.773668549996386	0.364663595014695	0.914905301698873	0.96748827531219	0.91949079922665	0.715218854759825	0.375201402776812	0.0171605169534347	0.990812921104683	0.993611145941836	0.998263192965614	0.998753182220548	0.932705619086574	0.939059256531764	0.984933270957168	0.027579231540292	0.553721492504286	0.36438172301524	0.894671745787592	0.840983936129694	0.919252563933253	0.95734150448774	0.143102066455015	0.797667628877424	0.73755226520181	0.235607201154555	0.93683213476503	0.596422172510478	0.654328316878336	0.915787316008149	0.338014661569906
749716	solid	breast	carcinoma	NA	0.862395514939689	NA	0.266179632197021	NA	NA	0.771461415332791	0.974761786068274	NA	0.895351805796984	0.508636054799832	0.908875036209799	0.729685279632134	NA	0.274666225721657	0.970462128832251	NA	0.265859359556961	NA	NA	NA	NA	0.661914354117048	0.354232452811602	0.989657427666155	0.987507477118729	NA	0.966356687248273	0.800507798044316	NA	NA	NA	NA	0.259656374163938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.893716727331957	NA	NA
749717	solid	breast	carcinoma	0.849286865956658	0.796755651282591	0.244155907122503	0.0356852052078169	0.0675478085560376	0.970120958635311	0.801606053064302	0.95111341421073	0.924373615107047	0.98629082188157	0.976930906446966	0.985490040726886	0.553954199418556	0.774438746530388	0.0601837409082033	0.951833555829325	0.870758509578736	0.819823152834622	0.853976389232041	0.954756939972618	0.958858177439989	0.877552203845301	0.00703789281150213	0.0454220525115612	0.986508433958955	0.988526500858192	0.994663760413455	0.99518913934896	0.973085825089452	0.945270216091507	0.970380050457137	0.118677662455637	0.684902629574823	0.665729180989941	0.970849569015582	0.918687948120452	0.912992618879032	0.922508437083706	0.289201215930507	0.795497950824948	0.876130591744595	0.599302730979536	0.919364760496719	0.969808042409328	0.832926328975851	0.957944268815715	0.112224262787312
905936	solid	large_intestine	carcinoma	0.203354879124119	0.29981160307061	0.00916439215667075	0.00303260611922807	0.00368942070666178	0.960408224299396	0.627420629279915	0.894851219259505	0.690081197210102	NA	0.977423991489157	0.98021165399618	0.125507398640257	0.978275589599983	0.0109563727833597	0.666348439460444	0.845854911144648	0.361536154402306	0.771809964019045	0.399250114580534	0.69320208066622	0.88508752845579	0.00411843063278305	0.0730359514828451	0.996059489293974	0.989960402662627	0.997422900496962	0.552977626485334	0.642233933972243	0.745144649353236	0.950714556992056	0.0222478721758967	0.591084734054984	0.759067881888934	0.994654178891015	0.92612096079493	0.86724596895183	0.967055370082807	0.263673176661783	0.683744310607612	0.562660976652561	0.111715444707346	0.92356797155984	0.825743466039358	0.534449131563698	0.971589000619892	0.0237684875642972
