CL_name	Type	Site	Histology	Erlotinib	Rapamycin	Sunitinib	Paclitaxel	Sorafenib	Imatinib	Crizotinib	Dasatinib	Bortezomib	Lapatinib	Doxorubicin___133	Doxorubicin___1386	Etoposide	Gemcitabine___135	Gemcitabine___1393	Mitomycin-C	Vinorelbine	Bicalutamide___150	Bicalutamide___1502	Ponatinib	5-Fluorouracil	Bexarotene	Bleomycin	Pazopanib	Ruxolitinib	Idelalisib	Cabozantinib	Belinostat	Alectinib	Pemetrexed	Panobinostat	Vinblastine	Cisplatin___1005	Cisplatin___1496	Cytarabine	Docetaxel	Methotrexate	Tretinoin	Gefitinib	Vorinostat	Nilotinib	Temsirolimus	Olaparib___1017	Olaparib___1495	Bosutinib	Lenalidomide	Axitinib	Afatinib___1032	Afatinib___1377	Vismodegib	Palbociclib	Cetuximab	Rucaparib	Tamoxifen	Trametinib	Dabrafenib	Temozolomide	Fulvestrant	SN-38___1490	SN-38___1494
683665	myeloma	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	0.819245160534839	0.984035003935367	0.989693484306781	0.00252021851131701	0.63595835551904	0.724846418670459	0.969233314403617	0.893016390018702	0.0431239974304761	0.810283832958837	0.00302114141390875	0.006016588397877	0.00702446562715509	2.90523188899439e-05	9.87943757052578e-05	0.0579533931948051	0.0061550676561769	0.823729435234777	0.983633262725353	0.86778702354789	0.000981695088127843	0.783570833263484	0.00079287279982887	0.10604279763287	0.981856231246943	0.407021565274357	0.531346336004169	0.000593778361233865	0.981319140328636	0.0436694450768346	0.487952010823889	0.111533060305636	0.546452514993275	0.229038326405116	0.000287603313423923	0.00042598477295519	0.033051290911446	0.988410141365739	0.947846630943902	0.417327047391433	0.952681719799142	0.0184192497715336	0.801977294235883	0.867119565649162	0.859470963690119	0.977438360529508	0.931733782324921	0.994440404814485	0.999596988447638	0.738929801149313	0.969998884783123	0.999042100372717	0.689813001622188	0.997751907232257	0.996376980622225	0.755211649222806	0.80951596974363	0.999442739203243	0.11244960330168	0.046154648559413
684055	solid	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	0.875683728729556	0.981489490037933	0.990557103436818	0.147539576313309	0.285322858243453	0.38562062403572	0.95440709730653	0.949155220281837	0.0667336133788706	0.828868828744633	0.0087797876917739	0.00270141281881686	0.0224723494672138	0.000662693776001699	0.000120532718211885	0.0159125371118182	0.0232097963364055	0.86385372870317	0.971683050293437	0.922186031805628	0.0570865901725508	0.917378647835604	0.00223620990528217	0.280675595334604	0.944915059231125	0.927365280178733	0.804297455712051	0.00400628179936025	0.840475114101895	0.00285531792705607	0.22104111395906	0.0881869578986064	0.0503129737154329	0.0407821230746519	0.00433454441594527	0.000828533483518745	0.0997647212484331	0.868836514571549	0.915783467587378	0.57557272580694	0.920684300065463	0.0650286096836966	0.365629881727378	0.282171006047084	0.958049785158487	0.885823375107325	0.952141053610632	0.981356765568854	0.994071709028939	0.626707181239532	0.762693118776616	0.988388160132221	0.41167646783916	0.996401766426712	0.989570535665215	0.543137921561171	0.853609206954908	0.998426913388626	0.0131565861496007	0.00848624019471089
684057	solid	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	0.907685992731773	0.977204805469928	0.987514518736908	0.369700312788833	0.60192371992836	0.719877485381726	0.94875107874814	0.97740919833366	0.0764710013501224	0.854320677779407	0.0660778740078413	0.0382964925819623	0.533492223969127	0.0377716807677251	0.00111531500006623	0.245502180740345	0.187290140467116	0.769026045341207	0.958202201102892	0.906793252956943	0.0382053707001708	0.958903482781194	0.0115208297312598	0.277855734296066	0.942699078334124	0.656849935982886	0.403960261775494	0.00256779882530545	0.680901493997755	NA	NA	0.178828539578639	0.232668187078654	0.235983187988942	0.0127761815901742	0.00135985510358827	0.213705157352611	0.972191209722558	0.928633417108111	0.499878729689829	0.85542310212879	0.0910092330840393	0.274595379397947	0.461650074378169	0.719933122139625	0.949586395501451	0.84570651932373	0.93916600199556	0.996369292861794	0.568722019302508	0.929253216289074	0.991850531209338	0.494745602044089	0.991770017931251	0.992178771265793	0.609826140383506	0.86359407622269	0.99615822433319	0.105464647536697	0.0253973768533501
684059	solid	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	0.808674379491604	0.980255175455884	0.989015825318559	0.200863455067458	0.554817491993696	0.565991737078793	0.948761092917374	0.903794320846037	NA	0.6545745751985	0.0054827217842105	0.00165340869411457	0.0256014550601632	0.000217914875129233	8.20498708222761e-05	0.0114111677506678	0.0083115092982905	0.792418163310878	0.966731472344911	0.827146491425775	0.00530974609325074	0.728387456355787	0.0011543207532918	0.0725812469637934	0.941119776362079	0.247651909252909	0.152536838557315	0.00111864674913686	0.674089087548148	0.00148802066135612	0.263628598585846	0.127301552873298	0.163724993762774	0.0229954711975089	0.0184656926922282	0.000103327012785703	0.0521972736651872	0.909576632848894	0.937025709634489	0.666378939875538	0.919672656613988	0.106662445537478	0.291378795014027	0.129291696238876	0.914734128810194	0.970928085416539	0.933798236880172	0.982142230382256	0.992003380952094	0.519831523956738	0.878577015100541	0.995194490502324	0.351911504797079	0.988711436149379	0.988091215056449	0.525559989255889	0.880648082320212	0.994102928988582	0.00577036909130624	0.00720272792521781
684062	solid	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	0.728204925442669	0.829504465647189	0.983704501297307	0.369991801991788	0.695533461617014	0.652762078247364	0.954111631179316	0.968607680260784	0.216163292643564	0.801194151888747	0.086759467149442	0.698007510626292	0.158501702093048	0.00912511012241979	0.0154424107118327	0.226302840550794	0.0793678183520928	0.839012240015506	0.89166680375536	0.916416722197143	0.324252950390294	0.905026239907994	0.0216864780484741	0.318688851348013	0.972943249238117	0.799155257305714	0.625633873001304	0.0080656936990805	0.401451351404392	NA	NA	0.244560800727345	0.258724887846734	0.0539524814037343	0.0514967875260924	0.00168273643442107	0.275734687728396	0.867145452656981	0.79558770194572	0.585137361544319	0.913098736697999	0.0461299732391378	0.325789381053192	0.525982515873987	0.854210397066987	0.922373021886882	0.911959749430518	0.962465164331425	0.990488442056313	0.484724096052231	0.91333790838329	0.995111858533957	0.33976920852653	0.980733221109098	0.963791927691016	0.646123018583793	0.887254061599248	0.998628821895842	0.80961493847302	0.0376082702171261
684072	solid	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	0.689875689376122	0.85109027663709	0.91484930720146	0.00480200751719195	0.356804301982392	0.803517756964297	0.889440720716983	0.973040028591156	0.0723237220719745	0.841915577528179	0.00934566287535077	0.0190470812647292	0.0286629077917691	6.60773833160988e-05	0.000472037777355827	0.0213688884762632	0.0161173850279022	0.835639240627735	0.973656384071171	0.842925208672893	0.0389073666186469	0.85296028685509	0.00159752477632502	0.0132023888232371	0.954111687532521	0.939228602676093	0.701395596635664	0.00168402990258054	0.912901016641681	0.00156185124170627	0.260117840593186	0.382201547057788	0.435364521957734	0.150380260332204	0.0288716574884871	0.00477794316077551	0.0562750794318189	0.966565366482895	0.876924448845392	0.761417956658727	0.905310324942121	0.42772960533779	0.454138061145048	0.241196599252282	0.928880015400289	0.908433456953279	0.962508119329711	0.979610280298205	0.999191195699331	0.527592378957964	0.972566677528353	0.996905697772559	0.354976806205253	0.996480580317333	0.997299332824241	0.859741711178462	0.842116497493205	0.99941013130243	0.0204183046232914	0.0367911901251325
687448	solid	skin	malignant_melanoma	0.784659050955702	0.975411025355495	0.993559603129058	0.283337019937522	0.563130748058342	0.657161415866502	0.945453538684669	0.252583232134582	0.0145894035867732	0.850080841680137	0.216587247190893	0.153839045347934	0.111427393630268	0.262890684878206	0.00936290736777623	0.475525912593246	0.00528943696452189	0.853992651562005	NA	0.842214351990772	0.292696632425338	0.732914546687444	0.0972295701885192	0.483397803302969	0.970354200751143	0.866133808438157	0.702118014742031	0.0388342975985769	NA	0.103014970031692	0.447184040557149	0.244047530232135	0.400648146104127	0.40280843762911	0.184768237985765	0.0126308838483626	0.465733351517306	0.952250849380587	0.915082520058542	0.711967809731066	0.950721360795583	0.379818792818084	0.774239294951573	0.812751157421013	0.955609528008806	0.955446658744895	0.925759310277493	0.976041011023744	0.992649339217881	0.510196843764124	NA	NA	0.810234878804792	0.989991670892203	0.549445523601709	0.0652077370520345	0.873679945710782	0.992462046184822	0.407990364397067	0.112039965368114
687562	solid	central_nervous_system	glioma	0.817730251844895	0.908730379068427	0.986016767044816	0.00038516847886938	0.057204806719069	0.709835048918672	0.969170757292235	0.342143651500545	0.000295626213432265	0.778912573533833	0.00148133902747605	0.00186211403138181	0.00098370007752191	1.29900183130083e-05	1.43394573964839e-05	0.0326645146543036	0.000736309655753442	0.867154691846629	0.979576399947706	0.777971729381472	0.0327085855009269	0.785058461443369	0.000625467747503716	0.0783461188698039	0.986676542890541	0.935499032844341	0.69989029715021	0.00266718611592243	0.951640989177688	0.0424747198033167	0.508373233231074	0.0769466386253768	0.234717491971685	0.0488061858196301	0.00269703659099851	2.75928835382633e-05	0.524787970751798	0.992522745609572	0.8580517926395	0.749766730457192	0.959870871017047	0.135569124607926	0.269966596862635	0.254931315834574	0.875533268709829	0.969659478898651	0.971183782885475	0.993623261328567	0.999463953773678	0.415265307241779	0.998501218618292	0.998359299296227	0.396018865816445	0.990833273731009	0.976048558014013	NA	0.566708859829647	0.998993306540515	0.0124773809254859	0.00576100477663244
687568	solid	central_nervous_system	glioma	0.893829011583337	NA	0.84028998632748	0.0165282625435234	0.258553119958409	0.765455401756075	0.870077501131587	0.122026244089605	0.0194090074736648	0.761154213746301	0.0554692841514391	0.104375228215631	0.0624717903264711	0.000191061536052528	0.000440564885775041	0.241209012151417	0.157675962104944	0.83115496901779	0.925064634073505	0.446774678891887	0.026181680042991	0.779520562598326	0.00215343143067859	0.054571571119275	0.977570420540854	0.922045584362596	0.42446614327172	0.00349641393991651	0.96186161360052	0.0952898584312494	0.360477211661938	0.540512907716858	0.152323000986585	0.0574891118047777	0.0836617518435155	0.00272652019916997	0.672385543733016	0.942390479227494	0.92166970169454	0.689456637675201	0.958986371673855	0.305677165028585	0.420855714672551	0.62201945728443	0.937861616539194	0.913114334459414	0.980770389418616	0.982407604304585	0.99705852404124	0.624908020879753	0.93634908604689	0.98880417297769	0.69705751463338	0.994855798796977	0.870112562702828	0.762061097597703	0.759189029597017	0.998641211332035	0.0481457758155416	0.0523079012342038
687590	solid	central_nervous_system	glioma	0.896212077598094	0.837817085486825	0.994301196950562	0.243955730341664	0.452877743048601	0.679300113893108	0.890762681538495	0.957205639491463	0.12286657154417	0.826488031120373	0.0850791657165952	0.0300229153560078	0.3397506010644	0.0134534888172921	0.00116705197677447	0.414277732840145	0.0897605878522297	0.886415224664974	0.97185868487129	0.968936039727513	0.174263698284266	0.942809005691513	0.0425630893167098	0.495406199536121	0.974604206114679	0.875650674427721	0.686899312580087	0.0892325128926896	0.96778888713075	0.24444378979391	0.823885812242911	0.45735820581967	0.618070706230227	0.44837564595145	0.0751414027073443	0.0071779198540578	0.731126188935819	0.98341954309096	0.896219158553704	0.856680407208306	0.955352346933925	0.485753610095582	0.747717467872885	0.696613509601339	0.95105641088756	0.963148002918721	0.982060775880272	0.92613507230035	0.969924401557704	0.811449995169471	0.969351039873294	0.975624632107936	0.904757923130634	0.994859074054527	0.803684706679281	0.808478872589759	0.915177473938038	0.996629217520774	0.0914931862928705	0.103024451412589
